Entity,Relation,Action,Value
isosceles,generalizations,ygeometricshape,geometricshape
sea_advertising,generalizations,yeconomicsector,economicsector
oct_7,generalizations,ydate,date
aug__7,generalizations,ydate,date
february_2003,generalizations,ydate,date
march_18,generalizations,ydate,date
april_4th,generalizations,ydate,date
brass,generalizations,nbuildingmaterial,buildingmaterial
brass,generalizations,nbuildingmaterial,buildingmaterial
brass,generalizations,ybuildingmaterial,buildingmaterial
brass,generalizations,ybuildingmaterial,buildingmaterial
umbanda,generalizations,yreligion,religion
sodium_orthosilicate,generalizations,ychemical,chemical
argon,generalizations,ychemical,chemical
argon,generalizations,ychemical,chemical
argon,generalizations,ychemical,chemical
germanium_tetrafluoride,generalizations,ychemical,chemical
acetone,generalizations,ychemical,chemical
acetone,generalizations,ychemical,chemical
acetone,generalizations,ychemical,chemical
acetone,generalizations,ychemical,chemical
acetone,generalizations,ychemical,chemical
carbon_dioxide,generalizations,ychemical,chemical
gbp,generalizations,ycurrency,currency
gbp,generalizations,ycurrency,currency
pesetas,generalizations,ncurrency,currency
pesetas,generalizations,ycurrency,currency
pesetas,generalizations,ycurrency,currency
euros,generalizations,ycurrency,currency
euros,generalizations,ycurrency,currency
euros,generalizations,ycurrency,currency
acceptance,generalizations,yemotion,emotion
acceptance,generalizations,yemotion,emotion
acceptance,generalizations,yemotion,emotion
acceptance,generalizations,yemotion,emotion
acceptance,generalizations,yemotion,emotion
acceptance,generalizations,nemotion,emotion
love,generalizations,yemotion,emotion
love,generalizations,yemotion,emotion
love,generalizations,yemotion,emotion
love,generalizations,yemotion,emotion
love,generalizations,yemotion,emotion
love,generalizations,yemotion,emotion
love,generalizations,yemotion,emotion
love,generalizations,yemotion,emotion
anger,generalizations,yemotion,emotion
anger,generalizations,yemotion,emotion
anger,generalizations,yemotion,emotion
anger,generalizations,yemotion,emotion
anger,generalizations,yemotion,emotion
mail_post_cards,generalizations,yphysicalaction,physicalaction
religious_studies,generalizations,yacademicfield,academicfield
life_sciences,generalizations,yacademicfield,academicfield
life_sciences,generalizations,yacademicfield,academicfield
cognitive_science,generalizations,yacademicfield,academicfield
cognitive_science,generalizations,yacademicfield,academicfield
digital_forensics,generalizations,yacademicfield,academicfield
micromycetes,generalizations,yfungus,fungus
chitin,generalizations,nfungus,fungus
pines,generalizations,yplant,plant
blood_cells__the_mononuclear_cells,generalizations,ycelltype,celltype
wall_cells,generalizations,ycelltype,celltype
septic_tank_servicers_and_sewer_pipe_cleaners,generalizations,yprofession,profession
greatness,generalizations,yphysicalcharacteristic,physicalcharacteristic
greatness,generalizations,nphysicalcharacteristic,physicalcharacteristic
punk_rock,generalizations,ymusicgenre,musicgenre
british_rock,generalizations,ymusicgenre,musicgenre
frankness,generalizations,ycharactertrait,charactertrait
frankness,generalizations,ycharactertrait,charactertrait
courage,generalizations,ycharactertrait,charactertrait
courage,generalizations,ycharactertrait,charactertrait
courage,generalizations,ycharactertrait,charactertrait
courage,generalizations,ycharactertrait,charactertrait
courage,generalizations,ycharactertrait,charactertrait
kindness,generalizations,ycharactertrait,charactertrait
thinking_about_you_thinking_about_me,generalizations,ycognitiveactions,cognitiveactions
critical_thinking_skills,generalizations,ycognitiveactions,cognitiveactions
shenmue,generalizations,yvideogame,videogame
killzone,generalizations,yvideogame,videogame
left_4_dead,generalizations,yvideogame,videogame
gran_turismo,generalizations,yvideogame,videogame
call_of_duty,generalizations,yvideogame,videogame
call_of_duty,generalizations,yvideogame,videogame
call_of_duty,generalizations,yvideogame,videogame
call_of_duty,generalizations,yvideogame,videogame
call_of_duty,generalizations,yvideogame,videogame
call_of_duty,generalizations,yvideogame,videogame
call_of_duty,generalizations,yvideogame,videogame
call_of_duty,generalizations,yvideogame,videogame
call_of_duty,generalizations,yvideogame,videogame
power_grid,generalizations,yboardgame,boardgame
arc_de_triomphe,generalizations,ymonument,monument
seymour_restaurant,generalizations,yrestaurant,restaurant
hidalgos_restaurant,generalizations,yrestaurant,restaurant
omni_hotels,generalizations,yhotel,hotel
disney_s_all_star_sports_resort,generalizations,yhotel,hotel
brasilia,generalizations,ycity,city
brasilia,generalizations,ycity,city
bydgoszcz,generalizations,ycity,city
lorient,generalizations,ycity,city
belgrade,generalizations,ycity,city
klagenfurt,generalizations,ycity,city
klagenfurt,generalizations,ycity,city
klagenfurt,generalizations,ycity,city
klagenfurt,generalizations,ycity,city
klagenfurt,generalizations,ycity,city
klagenfurt,generalizations,ycity,city
maringa,generalizations,ycity,city
matthew_good_band,generalizations,ymusicartist,musicartist
newsboys,generalizations,ymusicartist,musicartist
descendents,generalizations,ymusicartist,musicartist
switchfoot,generalizations,ymusicartist,musicartist
abba,generalizations,ymusicartist,musicartist
abba,generalizations,ymusicartist,musicartist
darkness,generalizations,ymusicartist,musicartist
dead_kennedys,generalizations,ymusicartist,musicartist
sex_pistols,generalizations,ymusicartist,musicartist
the_beautiful_girls,generalizations,ymusicartist,musicartist
heron_recordings,generalizations,yrecordlabel,recordlabel
amirkabir_university_of_technology,generalizations,yuniversity,university
tehran_university,generalizations,yuniversity,university
sharif_university_of_technology,generalizations,yuniversity,university
hiroshi_okuda,generalizations,yceo,ceo
maria_m__klawe,generalizations,ymlauthor,mlauthor
jeff_garvin,generalizations,ychef,chef
iceland_symphony_orchestra,generalizations,ymusician,musician
johnny_rotten,generalizations,ymusician,musician
stomach_lining,generalizations,ybodypart,bodypart
drilling_machines,generalizations,ytool,tool
salsa_shoes,generalizations,yclothing,clothing
flirtyshoes,generalizations,yclothing,clothing
outdoor_shoes,generalizations,yclothing,clothing
keen_outdoor_shoes,generalizations,yclothing,clothing
pjs,generalizations,yclothing,clothing
glove,generalizations,ysportsequipment,sportsequipment
birth_certificate,generalizations,ysportsequipment,sportsequipment
balls,generalizations,ysportsequipment,sportsequipment
skis,generalizations,ysportsequipment,sportsequipment
ghc,generalizations,ysoftware,software
commodore_amiga,generalizations,yproduct,product
nokia_6680i,generalizations,yproduct,product
adobe_reader,generalizations,yproduct,product
microsoft_excel,generalizations,yproduct,product
chewing_gum,generalizations,ycandy,candy
chipotle_pepper_sauce,generalizations,ycondiment,condiment
victory_berry_sauce,generalizations,ycondiment,condiment
buffalo_sauce,generalizations,ycondiment,condiment
pobtatoes,generalizations,yvegetable,vegetable
chocolate_raspberry_muffins,generalizations,ybakedgood,bakedgood
doctor_death,generalizations,neverypromotedthing,everypromotedthing
gilbert_stork,generalizations,yscientist,scientist
terrorist_raids,generalizations,ymilitaryeventtype,militaryeventtype
raids,generalizations,ymilitaryeventtype,militaryeventtype
in_the_wee_small_hours,generalizations,ymusicalbum,musicalbum
specific_area,generalizations,nbodypart,bodypart
depression,generalizations,yemotion,emotion
depression,generalizations,yemotion,emotion
the_member_of_the_wedding,generalizations,nbook,book
generosity,generalizations,ycharactertrait,charactertrait
generosity,generalizations,ycharactertrait,charactertrait
dinar,generalizations,ycurrency,currency
francs,generalizations,ycurrency,currency
bonaparte_restaurant,generalizations,yrestaurant,restaurant
etching,generalizations,yvisualartform,visualartform
cadium,generalizations,ychemical,chemical
team_fortess_2,generalizations,yvideogame,videogame
how_to_eat_fried_worms,generalizations,ybook,book
black_beauty,generalizations,ybook,book
black_beauty,generalizations,ybook,book
black_beauty,generalizations,ybook,book
black_beauty,generalizations,ybook,book
tristram_shandy,generalizations,ybook,book
the_joshua_tree,generalizations,ymusicalbum,musicalbum
ulysses,generalizations,ybook,book
ulysses,generalizations,ybook,book
abbey_road,generalizations,ymusicalbum,musicalbum
abbey_road,generalizations,ymusicalbum,musicalbum
abbey_road,generalizations,ymusicalbum,musicalbum
abbey_road,generalizations,ymusicalbum,musicalbum
abbey_road,generalizations,ymusicalbum,musicalbum
abbey_road,generalizations,ymusicalbum,musicalbum
abbey_road,generalizations,ymusicalbum,musicalbum
abbey_road,generalizations,ymusicalbum,musicalbum
abbey_road,generalizations,ymusicalbum,musicalbum
abbey_road,generalizations,ymusicalbum,musicalbum
abbey_road,generalizations,ymusicalbum,musicalbum
abbey_road,generalizations,ymusicalbum,musicalbum
jagged_little_pill,generalizations,ymusicalbum,musicalbum
jagged_little_pill,generalizations,ymusicalbum,musicalbum
u2,generalizations,ymusicartist,musicartist
biotechnology_laboratory_technology,generalizations,nacademicfield,academicfield
the_grapes_of_wrath,generalizations,ybook,book
life_and_monopoly,generalizations,nboardgame,boardgame
psp_2k10,generalizations,yconsumerelectronicitem,consumerelectronicitem
n44_5_percent,generalizations,yphysicsterm,physicsterm
xia_wang,generalizations,ymlauthor,mlauthor
zur_letzten_instanz_restaurant,generalizations,yrestaurant,restaurant
april_03,generalizations,ydate,date
forrest_gump,generalizations,ymovie,movie
forrest_gump,generalizations,ymovie,movie
forrest_gump,generalizations,ymovie,movie
forrest_gump,generalizations,ymovie,movie
forrest_gump,generalizations,ymovie,movie
forrest_gump,generalizations,ymovie,movie
forrest_gump,generalizations,ymovie,movie
psp_memory_8gb,generalizations,nconsumerelectronicitem,consumerelectronicitem
iron_fluoride,generalizations,ychemical,chemical
control,generalizations,neventoutcome,eventoutcome
the_master_and_margarita,generalizations,ybook,book
n72_percent,generalizations,nphysicsterm,physicsterm
euro,generalizations,ycurrency,currency
euro,generalizations,ycurrency,currency
euro,generalizations,ycurrency,currency
euro,generalizations,ycurrency,currency
euro,generalizations,ycurrency,currency
titus_andronicus,generalizations,nbook,book
krakow,generalizations,ycity,city
wv_hallucinogenic_mushrooms,generalizations,yfungus,fungus
auguste_escoffier,generalizations,ychef,chef
maastricht,generalizations,ycity,city
internal_oak_doors,generalizations,ybuildingfeature,buildingfeature
jul_85,generalizations,ydate,date
psp_playstation_portable_2,generalizations,yconsumerelectronicitem,consumerelectronicitem
may_88,generalizations,ydate,date
movie_happy_gilmore,generalizations,ymovie,movie
movie_pulp_fiction,generalizations,ymovie,movie
chronicles_of_narnia,generalizations,ybook,book
radial_lines,generalizations,ngeometricshape,geometricshape
software_engineering,generalizations,yacademicfield,academicfield
lemon_nut_bread,generalizations,ybakedgood,bakedgood
abstract_problem,generalizations,ycognitiveactions,cognitiveactions
abstract_problem,generalizations,ycognitiveactions,cognitiveactions
abstract_problem,generalizations,ycognitiveactions,cognitiveactions
association_for_women_in_computing,generalizations,yprofessionalorganization,professionalorganization
mail_puppy,generalizations,yphysicalaction,physicalaction
mail_post,generalizations,yphysicalaction,physicalaction
bacon_cheddar_muffins,generalizations,ybakedgood,bakedgood
super_mario_advance,generalizations,yvideogame,videogame
conversation_process,generalizations,ysociopolitical,sociopolitical
golden_key_hotel,generalizations,yhotel,hotel
neighboring,generalizations,yperceptionaction,perceptionaction
unilocular_fat_cells,generalizations,ycelltype,celltype
sep_31,generalizations,ydate,date
top_journals,generalizations,ymediatype,mediatype
ragga,generalizations,ymusicgenre,musicgenre
porcini_mushroom_sauce,generalizations,ycondiment,condiment
thinking_outside_the_block_pattern,generalizations,ycognitiveactions,cognitiveactions
movie_batman_forever,generalizations,ymovie,movie
the_court_jester,generalizations,ymovie,movie
buddhism,generalizations,yreligion,religion
buddhism,generalizations,yreligion,religion
scrabble_crossword_game,generalizations,yboardgame,boardgame
line_segments_lines_and_rays,generalizations,ngeometricshape,geometricshape
us_dollars,generalizations,ycurrency,currency
rockstar_games,generalizations,nproduct,product
asphalt_tools,generalizations,ytool,tool
asphalt_hand_tools,generalizations,ytool,tool
coke,generalizations,ybeverage,beverage
ibm_pc,generalizations,yproduct,product
beatles,generalizations,ymusicartist,musicartist
beatles,generalizations,ymusicartist,musicartist
fortaleza,generalizations,ycity,city
fortaleza,generalizations,ycity,city
fortaleza,generalizations,ycity,city
fortaleza,generalizations,ycity,city
fortaleza,generalizations,ycity,city
final_fantasy_fables__chocobo_tales,generalizations,yvideogame,videogame
a_confederacy_of_dunces,generalizations,ybook,book
harry_potter,generalizations,ybook,book
neural_networks,generalizations,ymlarea,mlarea
the_lord_of_the_rings,generalizations,ybook,book
oct_43,generalizations,ndate,date
museum_im_amtshaussch_pfla,generalizations,nmuseum,museum
acts,generalizations,ybook,book
mushrooms_michigan,generalizations,yfungus,fungus
endless_shoes,generalizations,yclothing,clothing
ambagiousness,generalizations,ncharactertrait,charactertrait
gud_sauce,generalizations,ycondiment,condiment
continuous_printing_paper,generalizations,yofficeitem,officeitem
the_noisettes,generalizations,ymusicartist,musicartist
african_split_skin_toad,generalizations,yamphibian,amphibian
n2008_algarve_cup,generalizations,yawardtrophytournament,awardtrophytournament
gypsy_punk_rock,generalizations,ymusicgenre,musicgenre
daejeon_world_cup_stadium,generalizations,ystadiumoreventvenue,stadiumoreventvenue
yuan,generalizations,ycurrency,currency
shantanu_narayen,generalizations,yceo,ceo
appetite_for_destruction,generalizations,nmusicalbum,musicalbum
appetite_for_destruction,generalizations,ymusicalbum,musicalbum
appetite_for_destruction,generalizations,ymusicalbum,musicalbum
appetite_for_destruction,generalizations,ymusicalbum,musicalbum
appetite_for_destruction,generalizations,ymusicalbum,musicalbum
emo_rock_metal,generalizations,ymusicgenre,musicgenre
cordectomy_corectomy,generalizations,ymedicalprocedure,medicalprocedure
court_reporters,generalizations,yprofession,profession
taekwondobari,generalizations,ysport,sport
kathleen_sgambati,generalizations,yfemale,female
photatoes,generalizations,yvegetable,vegetable
shoulder_osteoarthritis,generalizations,yphysiologicalcondition,physiologicalcondition
sandwich_pot,generalizations,ykitchenitem,kitchenitem
thun,generalizations,ycity,city
sept_2009,generalizations,ydate,date
movie_the_bridge_on_the_river_kwai,generalizations,ymovie,movie
information_sciences,generalizations,yacademicfield,academicfield
finals,generalizations,nsportsgame,sportsgame
colour_printing,generalizations,yvisualartform,visualartform
fiberglass,generalizations,ybuildingmaterial,buildingmaterial
aaai,generalizations,yconference,conference
aaai,generalizations,yconference,conference
doctor_zhivago,generalizations,ymovie,movie
doctor_zhivago,generalizations,ymovie,movie
doctor_zhivago,generalizations,ymovie,movie
astrocytes,generalizations,ycelltype,celltype
varmints,generalizations,yvertebrate,vertebrate
go,generalizations,yboardgame,boardgame
go,generalizations,yboardgame,boardgame
go,generalizations,yboardgame,boardgame
go,generalizations,yboardgame,boardgame
stainless_steel,generalizations,ybuildingmaterial,buildingmaterial
screamo,generalizations,ymusicgenre,musicgenre
nirvana,generalizations,ymusicartist,musicartist
szczecin,generalizations,ycity,city
men_prada_shoes,generalizations,yclothing,clothing
urinoscopy,generalizations,ymedicalprocedure,medicalprocedure
high_grass,generalizations,yplant,plant
scalp_skin,generalizations,ybodypart,bodypart
osullivan_office_furniture,generalizations,yhouseholditem,householditem
quality_talent,generalizations,ycharactertrait,charactertrait
psp_magic_memory_stick,generalizations,yconsumerelectronicitem,consumerelectronicitem
jade_cafe,generalizations,yrestaurant,restaurant
pycon,generalizations,yconference,conference
pycon,generalizations,yconference,conference
movie_minority_report,generalizations,ymovie,movie
mario_64,generalizations,yvideogame,videogame
shakespeare,generalizations,ywriter,writer
shakespeare,generalizations,ywriter,writer
literature,generalizations,yacademicfield,academicfield
purgatorio,generalizations,nbook,book
psp_red_alert,generalizations,yconsumerelectronicitem,consumerelectronicitem
pignose_turtle,generalizations,yreptile,reptile
mens_comfort_shoes,generalizations,yclothing,clothing
montreal,generalizations,ycity,city
chess,generalizations,yboardgame,boardgame
chess,generalizations,yboardgame,boardgame
chess,generalizations,yboardgame,boardgame
chess,generalizations,yboardgame,boardgame
chess,generalizations,yboardgame,boardgame
chess,generalizations,yboardgame,boardgame
chess,generalizations,yboardgame,boardgame
chess,generalizations,yboardgame,boardgame
linkoping,generalizations,ycity,city
n2004_presidential_election,generalizations,yelection,election
n2004_presidential_election,generalizations,yelection,election
n2004_presidential_election,generalizations,yelection,election
hybrid_theory,generalizations,ymusicalbum,musicalbum
australian_red_tailed_cockatoo,generalizations,ybird,bird
jogging_pants,generalizations,yclothing,clothing
e_zines,generalizations,ymediatype,mediatype
prestigious_medical_journals,generalizations,ymediatype,mediatype
american_college_of_sofia,generalizations,yprofessionalorganization,professionalorganization
peso,generalizations,ycurrency,currency
jane_eyre,generalizations,ybook,book
jane_eyre,generalizations,ybook,book
southeastern_crown_snake,generalizations,yreptile,reptile
morrowind,generalizations,yvideogame,videogame
ultima_vii,generalizations,yvideogame,videogame
katie_lohann,generalizations,yfemale,female
cumin_indian_restaurant,generalizations,yrestaurant,restaurant
tpk_records,generalizations,yrecordlabel,recordlabel
eragon,generalizations,ybook,book
eragon,generalizations,ybook,book
eragon,generalizations,ybook,book
romeo_and_juliet,generalizations,ybook,book
romeo_and_juliet,generalizations,ybook,book
romeo_and_juliet,generalizations,ybook,book
luiz_inacio_lula_da_calendar_silva,generalizations,npolitician,politician
first_playoff,generalizations,nsportsgame,sportsgame
african_marsh_warbler,generalizations,ybird,bird
cherry_leaves,generalizations,nvegetable,vegetable
ticket_to_ride_board_game,generalizations,yboardgame,boardgame
elections_next_year,generalizations,yelection,election
shower_sliding_door,generalizations,ybuildingfeature,buildingfeature
easy_listening,generalizations,ymusicgenre,musicgenre
fev_24,generalizations,ydate,date
accounting,generalizations,yacademicfield,academicfield
accounting,generalizations,yacademicfield,academicfield
accounting,generalizations,yacademicfield,academicfield
accounting,generalizations,yacademicfield,academicfield
accounting,generalizations,yacademicfield,academicfield
singapore_league_cup,generalizations,yawardtrophytournament,awardtrophytournament
wyut,generalizations,nradiostation,radiostation
movie_ghost,generalizations,ymovie,movie
dec_30,generalizations,ydate,date
san_felipe_ground_snake,generalizations,yreptile,reptile
howard_stringer,generalizations,yceo,ceo
bruno_s_pizza___restaurant,generalizations,yrestaurant,restaurant
andy_s_chinese_restaurant,generalizations,yrestaurant,restaurant
potato_famine,generalizations,yevent,event
italy,generalizations,nsportsteam,sportsteam
china_hydropower_engineering_society,generalizations,yorganization,organization
swords,generalizations,yweapon,weapon
swords,generalizations,yweapon,weapon
lemon_thyme_barbecue_sauce,generalizations,ycondiment,condiment
product_development_engineer,generalizations,yjobposition,jobposition
pirates_of_the_carribean,generalizations,ymovie,movie
pirates_of_the_carribean,generalizations,ymovie,movie
pirates_of_the_carribean,generalizations,ymovie,movie
smoke_grenade,generalizations,yweapon,weapon
smoke_grenade,generalizations,yweapon,weapon
smoke_grenade,generalizations,yweapon,weapon
smoke_grenade,generalizations,yweapon,weapon
terror,generalizations,yemotion,emotion
x_files,generalizations,ytelevisionshow,televisionshow
x_files,generalizations,ytelevisionshow,televisionshow
x_files,generalizations,ytelevisionshow,televisionshow
lisp,generalizations,yprogramminglanguage,programminglanguage
lisp,generalizations,yprogramminglanguage,programminglanguage
lisp,generalizations,yprogramminglanguage,programminglanguage
internationaljournals,generalizations,ymediatype,mediatype
mountains_rivers,generalizations,ylandscapefeatures,landscapefeatures
logan_township_cuming_county,generalizations,ncounty,county
reeses_mini_peanut_butter_cups,generalizations,ycandy,candy
doujinshi,generalizations,ycreativework,creativework
doujinshi,generalizations,ycreativework,creativework
doujinshi,generalizations,ycreativework,creativework
doujinshi,generalizations,ycreativework,creativework
doujinshi,generalizations,ycreativework,creativework
n1595,generalizations,yyear,year
dog_furniture,generalizations,yfurniture,furniture
n1993_world_championships_in_athletics,generalizations,ysportsevent,sportsevent
feb_55,generalizations,ndate,date
electric_tea_pot,generalizations,ykitchenitem,kitchenitem
feb_1870,generalizations,ydate,date
cranberry_fruit_nut_bread,generalizations,ybakedgood,bakedgood
vb_script,generalizations,yprogramminglanguage,programminglanguage
aug__94,generalizations,ydate,date
canterbury_tales,generalizations,ybook,book
biology,generalizations,yacademicfield,academicfield
biology,generalizations,yacademicfield,academicfield
biology,generalizations,yacademicfield,academicfield
a_handful_of_dust,generalizations,ybook,book
vascular_smooth_muscle_cells,generalizations,ycelltype,celltype
the_magician,generalizations,ytelevisionshow,televisionshow
society_of_american_magicians,generalizations,yprofessionalorganization,professionalorganization
traditional_chinese_game,generalizations,nboardgame,boardgame
business_administration___accounting,generalizations,yacademicfield,academicfield
tour_de_nouvelle_caledonie,generalizations,yrace,race
immunology,generalizations,yacademicfield,academicfield
amador_county_museum,generalizations,ymuseum,museum
greek_meatballs_with_egg___lemon_sauce,generalizations,yfood,food
popular_sauce,generalizations,ncondiment,condiment
long_beach_blues_festival,generalizations,ymusicfestival,musicfestival
year_1967,generalizations,yyear,year
lucid_underground_media_arts_festival,generalizations,yfilmfestival,filmfestival
american_college_of_oncology_administrators,generalizations,yprofessionalorganization,professionalorganization
correctional_institution_administrators,generalizations,yprofession,profession
feb__87,generalizations,ydate,date
jan_81,generalizations,ydate,date
tlc_federal_credit_union,generalizations,ycreditunion,creditunion
octagons,generalizations,ygeometricshape,geometricshape
central_asia,generalizations,ygeopoliticallocation,geopoliticallocation
astronomy,generalizations,yacademicfield,academicfield
astronomy,generalizations,yacademicfield,academicfield
astronomy,generalizations,yacademicfield,academicfield
astronomy,generalizations,yacademicfield,academicfield
astronomy,generalizations,yacademicfield,academicfield
greenhouse_gases,generalizations,nchemical,chemical
january_1_1996,generalizations,ydate,date
albino_red_eyed_tree_frog,generalizations,yamphibian,amphibian
streptomyces_aureoversilis,generalizations,ybacteria,bacteria
ford_focus_zta,generalizations,yvehicle,vehicle
n1545,generalizations,yyear,year
thinking_outside_of_the_box,generalizations,ycognitiveactions,cognitiveactions
easy_chicken_pasta_recipe,generalizations,yrecipe,recipe
strong_headwind,generalizations,nweatherphenomenon,weatherphenomenon
blue_tailed_fire_belly_newt,generalizations,yamphibian,amphibian
may_1892,generalizations,ydate,date
bay_ghost_shrimp,generalizations,ycrustacean,crustacean
grotte_san_francisco,generalizations,ycave,cave
edam_gouda_cheese,generalizations,ycheese,cheese
farsi_language,generalizations,ylanguage,language
londrina,generalizations,ycity,city
york_updates,generalizations,ywinery,winery
soft_food,generalizations,yfood,food
congressional_elections,generalizations,yevent,event
advance_wars,generalizations,yvideogame,videogame
gijon,generalizations,ycity,city
artificial_intelligence,generalizations,nmlarea,mlarea
artificial_intelligence,generalizations,nmlarea,mlarea
middle_class_energy_initiative_act,generalizations,ypoliticsbill,politicsbill
fick_fossil_and_history_museum,generalizations,ymuseum,museum
name__cutworm,generalizations,yinvertebrate,invertebrate
computational_linguistics,generalizations,yacademicfield,academicfield
a_knight_of_the_word,generalizations,ybook,book
a_knight_of_the_word,generalizations,ybook,book
a_knight_of_the_word,generalizations,ybook,book
final_fantasy_x,generalizations,yvideogame,videogame
final_fantasy_x,generalizations,yvideogame,videogame
final_fantasy_x,generalizations,yvideogame,videogame
ford_gt40_concept,generalizations,yautomobilemodel,automobilemodel
pudong_international_airport,generalizations,yairport,airport
chromium_dioxychloride,generalizations,ychemical,chemical
delaware_police_department,generalizations,ygovernmentorganization,governmentorganization
manuela_m__veloso,generalizations,ymlauthor,mlauthor
manuela_m__veloso,generalizations,ymlauthor,mlauthor
cherrytree_records,generalizations,yrecordlabel,recordlabel
swedish_meatballs_with_creamy_dill_sauce,generalizations,yfood,food
swedish_meatballs_with_creamy_dill_sauce,generalizations,yfood,food
guitar_hero_4,generalizations,ysoftware,software
guitar_hero_4,generalizations,ysoftware,software
buckcherry,generalizations,ymusicartist,musicartist
chatooga_county,generalizations,ycounty,county
arizona_game_and_fish_department,generalizations,ygovernmentorganization,governmentorganization
hamlet,generalizations,ymovie,movie
hamlet,generalizations,ymovie,movie
iliad,generalizations,ybook,book
iliad,generalizations,ybook,book
iliad,generalizations,ybook,book
doctor_who,generalizations,ytelevisionshow,televisionshow
doctor_who,generalizations,ytelevisionshow,televisionshow
doctor_who,generalizations,ytelevisionshow,televisionshow
doctor_who,generalizations,ytelevisionshow,televisionshow
doctor_who,generalizations,ytelevisionshow,televisionshow
colombian_rattlesnake,generalizations,yreptile,reptile
lesser_swamp_frog,generalizations,yamphibian,amphibian
howard_a_rusk_rehab_center,generalizations,yhospital,hospital
the_beverly_hillbillies,generalizations,ytelevisionshow,televisionshow
the_beverly_hillbillies,generalizations,ytelevisionshow,televisionshow
stanley_cup,generalizations,yawardtrophytournament,awardtrophytournament
cannes_film_festival,generalizations,yfilmfestival,filmfestival
cannes_film_festival,generalizations,yfilmfestival,filmfestival
hospital_system_credit_union,generalizations,ycreditunion,creditunion
two_queen,generalizations,yparlourgame,parlourgame
new_haven_hotel,generalizations,yhotel,hotel
cambridge_teacher_federal_credit_union,generalizations,ycreditunion,creditunion
the_wonder_years,generalizations,ytelevisionshow,televisionshow
hot_rods,generalizations,yvehicle,vehicle
lord_of_the_flies,generalizations,ybook,book
lentil_beans,generalizations,ylegume,legume
learning,generalizations,ycognitiveactions,cognitiveactions
pearson_s_tree_frog,generalizations,yamphibian,amphibian
cold_winds,generalizations,yweatherphenomenon,weatherphenomenon
icag,generalizations,yconference,conference
senior_sw_engineer,generalizations,yjobposition,jobposition
discomate_records,generalizations,yrecordlabel,recordlabel
violenceagainst_women_act,generalizations,ypoliticsbill,politicsbill
adipocytes,generalizations,ycelltype,celltype
katia_alens,generalizations,yfemale,female
black_boy,generalizations,ybook,book
beholding,generalizations,yperceptionaction,perceptionaction
photo_copier,generalizations,nvisualartform,visualartform
assaults,generalizations,ymilitaryeventtype,militaryeventtype
boliviano,generalizations,ycurrency,currency
skapunk,generalizations,ymusicgenre,musicgenre
c_programming_language,generalizations,yprogramminglanguage,programminglanguage
c_programming_language,generalizations,yprogramminglanguage,programminglanguage
c_programming_language,generalizations,yprogramminglanguage,programminglanguage
c_programming_language,generalizations,yprogramminglanguage,programminglanguage
c_programming_language,generalizations,yprogramminglanguage,programminglanguage
c_programming_language,generalizations,yprogramminglanguage,programminglanguage
art_digital_photography,generalizations,yvisualartform,visualartform
adam_s_apple,generalizations,ybodypart,bodypart
acrobat_reader,generalizations,yproduct,product
da_vinci_days_film_festival,generalizations,yfilmfestival,filmfestival
an_american_in_paris,generalizations,ymovie,movie
an_american_in_paris,generalizations,ymovie,movie
an_american_in_paris,generalizations,ymovie,movie
an_american_in_paris,generalizations,ymovie,movie
blood_cell,generalizations,ycelltype,celltype
blood_cell,generalizations,ycelltype,celltype
blood_cell,generalizations,ycelltype,celltype
blood_cell,generalizations,ycelltype,celltype
docksider_boat_shoes,generalizations,yclothing,clothing
potato_topping_recipe,generalizations,yrecipe,recipe
port_of_torre_annunziata,generalizations,yport,port
death_crimson_2,generalizations,ysoftware,software
finland_railway_bridge,generalizations,ybridge,bridge
midland_chorus_frog,generalizations,yamphibian,amphibian
rocky_mountains,generalizations,ymountainrange,mountainrange
movie_gladiator,generalizations,ymovie,movie
lines_problem,generalizations,ygeometricshape,geometricshape
peter_higgs,generalizations,yscientist,scientist
alarm,generalizations,ybedroomitem,bedroomitem
black_spotted_porcupinefish,generalizations,yfish,fish
brideshead_revisited,generalizations,ybook,book
bleak_house,generalizations,ybook,book
cut_flowers,generalizations,nplant,plant
vastuslateralis,generalizations,ymuscle,muscle
somerset_brie_cheese,generalizations,ncheese,cheese
queer_as_folk,generalizations,ytelevisionshow,televisionshow
kissing,generalizations,yphysicalaction,physicalaction
boring,generalizations,yphysicalaction,physicalaction
just_kissing,generalizations,yphysicalaction,physicalaction
camellias,generalizations,yplant,plant
hyatt_regency_pier_66,generalizations,yhotel,hotel
international_studies,generalizations,yacademicfield,academicfield
phone_type_pieces,generalizations,ytableitem,tableitem
h_r_block_bank,generalizations,nbank,bank
jul_34,generalizations,ydate,date
internet_freedom_preservation_act,generalizations,ypoliticsbill,politicsbill
arabic_teapot,generalizations,ykitchenitem,kitchenitem
the_water_horse,generalizations,ymovie,movie
spirited_away,generalizations,ymovie,movie
spirited_away,generalizations,ymovie,movie
sky_high,generalizations,ymovie,movie
sky_high,generalizations,ymovie,movie
mulan,generalizations,ymovie,movie
incredible_hulk,generalizations,ymovie,movie
bambi,generalizations,ymovie,movie
w8_engine,generalizations,yautomobileengine,automobileengine
czech_koruna,generalizations,ycurrency,currency
czech_koruna,generalizations,ycurrency,currency
breast_sauce,generalizations,ycondiment,condiment
